country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Brazil,1985,male,75+ years,129,840300,15.35,Brazil1985,0.576,"222,942,790,435",1898,G.I. Generation
Brazil,1985,male,55-74 years,535,5364900,9.97,Brazil1985,0.576,"222,942,790,435",1898,G.I. Generation
Brazil,1985,male,35-54 years,1011,11986300,8.43,Brazil1985,0.576,"222,942,790,435",1898,Silent
Brazil,1985,male,25-34 years,791,10762900,7.35,Brazil1985,0.576,"222,942,790,435",1898,Boomers
Brazil,1985,male,15-24 years,661,13834000,4.78,Brazil1985,0.576,"222,942,790,435",1898,Generation X
Brazil,1985,female,75+ years,32,988100,3.24,Brazil1985,0.576,"222,942,790,435",1898,G.I. Generation
Brazil,1985,female,55-74 years,148,5650100,2.62,Brazil1985,0.576,"222,942,790,435",1898,G.I. Generation
Brazil,1985,female,25-34 years,269,10798700,2.49,Brazil1985,0.576,"222,942,790,435",1898,Boomers
Brazil,1985,female,35-54 years,296,12185200,2.43,Brazil1985,0.576,"222,942,790,435",1898,Silent
Brazil,1985,female,15-24 years,280,13751800,2.04,Brazil1985,0.576,"222,942,790,435",1898,Generation X
Brazil,1985,female,5-14 years,41,15622900,0.26,Brazil1985,0.576,"222,942,790,435",1898,Generation X
Brazil,1985,male,5-14 years,35,15693700,0.22,Brazil1985,0.576,"222,942,790,435",1898,Generation X
Brazil,1986,male,75+ years,103,823700,12.5,Brazil1986,,"268,137,224,730",2257,G.I. Generation
Brazil,1986,male,55-74 years,581,5492100,10.58,Brazil1986,,"268,137,224,730",2257,G.I. Generation
Brazil,1986,male,35-54 years,967,12396000,7.8,Brazil1986,,"268,137,224,730",2257,Silent
Brazil,1986,male,25-34 years,754,9895200,7.62,Brazil1986,,"268,137,224,730",2257,Boomers
Brazil,1986,male,15-24 years,685,13347500,5.13,Brazil1986,,"268,137,224,730",2257,Generation X
Brazil,1986,female,75+ years,33,1079400,3.06,Brazil1986,,"268,137,224,730",2257,G.I. Generation
Brazil,1986,female,55-74 years,163,6093600,2.67,Brazil1986,,"268,137,224,730",2257,G.I. Generation
Brazil,1986,female,35-54 years,335,13195700,2.54,Brazil1986,,"268,137,224,730",2257,Silent
Brazil,1986,female,15-24 years,331,13514000,2.45,Brazil1986,,"268,137,224,730",2257,Generation X
Brazil,1986,female,25-34 years,257,10614200,2.42,Brazil1986,,"268,137,224,730",2257,Boomers
Brazil,1986,female,5-14 years,35,16001200,0.22,Brazil1986,,"268,137,224,730",2257,Generation X
Brazil,1986,male,5-14 years,27,16323800,0.17,Brazil1986,,"268,137,224,730",2257,Generation X
Brazil,1987,male,75+ years,149,655621,22.73,Brazil1987,,"294,084,112,393",2394,G.I. Generation
Brazil,1987,male,55-74 years,647,5163568,12.53,Brazil1987,,"294,084,112,393",2394,G.I. Generation
Brazil,1987,male,35-54 years,1100,12796733,8.6,Brazil1987,,"294,084,112,393",2394,Silent
Brazil,1987,male,25-34 years,865,11266240,7.68,Brazil1987,,"294,084,112,393",2394,Boomers
Brazil,1987,male,15-24 years,713,14119488,5.05,Brazil1987,,"294,084,112,393",2394,Generation X
Brazil,1987,female,55-74 years,197,5891414,3.34,Brazil1987,,"294,084,112,393",2394,G.I. Generation
Brazil,1987,female,75+ years,28,1018461,2.75,Brazil1987,,"294,084,112,393",2394,G.I. Generation
Brazil,1987,female,35-54 years,349,13229129,2.64,Brazil1987,,"294,084,112,393",2394,Silent
Brazil,1987,female,25-34 years,266,11393405,2.33,Brazil1987,,"294,084,112,393",2394,Boomers
Brazil,1987,female,15-24 years,291,14145640,2.06,Brazil1987,,"294,084,112,393",2394,Generation X
